Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Gold Metal Trim Teardrop Serape Dangle Earrings,JEWELRY;EARRING/FASHION,images/20190622/FE3820-@GRN@1X225@445219@450@01.jpg,,"Style No : 445219 Color : Gold, Green  Size : 1"" X 2.25""  Post Back Lead and Nickel Compliant Gold Metal Trim Teardrop Serape Dangle Earrings",4.50
Gold Metal Trim Serape Dangle Earrings,JEWELRY;EARRING/FASHION,images/20190622/FE3816-@RE@1X225@445212@450@01.jpg,,"Style No : 445212 Color : Gold, Pink, Yellow  Size : 1"" X 2.25""  Post Back Lead and Nickel Compliant Gold Metal Trim Serape Dangle Earrings",4.50
Gold Metal Trim Serape Dangle Earrings,JEWELRY;EARRING/FASHION,images/20190622/FE3816-@PK@1X225@445211@450@01.jpg,,"Style No : 445211 Color : Gold, Pink  Size : 1"" X 2.25""  Post Back Lead and Nickel Compliant Gold Metal Trim Serape Dangle Earrings",4.50
Gold Metal Trim Serape Dangle Earrings,JEWELRY;EARRING/FASHION,images/20190622/FE3816-@MLT@1X225@445210@450@01.jpg,,"Style No : 445210 Color : Gold, Multi  Size : 1"" X 2.25""  Post Back Lead and Nickel Compliant Gold Metal Trim Serape Dangle Earrings",4.50
Gold Metal Trim Serape Dangle Earrings,JEWELRY;EARRING/FASHION,images/20190622/FE3816-@GRN@1X225@445209@450@01.jpg,,"Style No : 445209 Color : Gold, Green  Size : 1"" X 2.25""  Post Back Lead and Nickel Compliant Gold Metal Trim Serape Dangle Earrings",4.50
Rhinestone Trim Bead Fringe Drop Earrings,JEWELRY;EARRING/FASHION,images/20190625/FE1119-@YE@08X425@445459@450@01.jpg,,"Style No : 445459 Color : Yellow Theme : Fringe  Size : 0.8"" X 4.25"" Post Back Lead and Nickel Compliant Rhinestone Trim Bead Fringe Drop Earrings",4.50
Secret Box _ 14k Gold Dipped Hoop Pin Catch Earrings,JEWELRY;EARRING/PIN CATCH,images/20190621/PCE17914-@GD@16X17@444913@575@01.jpg,,"Style No : 444913 Color : Gold  Size: 1.6"" X 1.7"" Pin Catch Gold Dipped Secret Box _ 14K Gold Dipped Hoop Pin Catch Earrings",5.75
Secret Box _ 14k Gold Dipped Hoop Pin Catchearrings,JEWELRY;EARRING/PIN CATCH,images/20190621/PCE17913-@GD@12X125@444911@525@01.jpg,,"Style No : 444911 Color : Gold  Size: 1.2"" X 1.25"" Pin Catch Gold Dipped Secret Box _ 14K Gold Dipped Hoop Pin CatchEarrings",5.25
Textured Open Circle Hook Pin Catch Earrings,JEWELRY;EARRING/PIN CATCH,images/20190621/PCE70131-@GD@13X15@444965@375@01.jpg,images/20190621/des_img/PCE70131-@GD@13X15@444965@375@01@1.jpg,"Style No : 444965 Color : Gold  Size : 1.3"" X 1.5"" Pin Catch Lead and Nickel Compliant Textured Open Circle Hook Pin Catch Earrings",3.75
Textured Open Circle Metal Dangle Earrings,JEWELRY;EARRING/METAL,images/20190621/ME70138-@RH@1X16@444975@350@01.jpg,,"Style No : 444975 Color : Rhodium  Size : 1"" X 1.6"" Post Back Lead and Nickel Compliant Textured Open Circle Metal Dangle Earrings",3.50
